rating,code,nine_forreturn,name,nine_forPE,title,agency,eight_forreturn,eight_forPE,num,date,ratchange
买入,000966.SZ,0.498,长源电力,10,多因素趋势向好，继续看好低估值高弹性标的,安信证券,,,维持,2019-04-14T09:39:24,维持
买入,000966.SZ,0.42,长源电力,11.93,1Q19超预期，短看煤价弹性，长看蒙华投运,华泰证券,,,维持,2019-04-14T09:58:40,维持
买入,300735.SZ,1.11,光弘科技,18.32,一季报预告大超预期，“匠心”助力客户成就自我,华泰证券,0.75,27.12,维持,2019-04-14T10:01:51,维持
增持,300285.SZ,0.65,国瓷材料,24.3,一季报符合预期，爱尔创并表增厚业绩,华泰证券,,,维持,2019-04-14T10:04:12,维持
买入,601668.SH,1.05,中国建筑,6.07,Q4经营大幅改善致全年利润超预期,华泰证券,,,维持,2019-04-14T10:08:09,维持
买入,601019.SH,0.77,山东出版,12,核心主业连续双位数增长，盈利能力保持较高水平,东吴证券,,,维持,2019-04-14T11:09:31,维持
买入,603160.SH,3.72,汇顶科技,28.7,光学指纹放量，芯片龙头业绩大超预期,东吴证券,,,维持,2019-04-14T11:15:31,维持
增持,002373.SZ,0.66,千方科技,30.17,交通安防协同，增长动力充足,财富证券,,,首次,2019-04-14T13:22:19,首次
增持,A19089.SH,,广大特材,,科创板受理钢铁第一股：广大特材,华泰证券,,,维持,2019-04-14T13:42:03,维持
买入,603587.SH,1.65,地素时尚,17,零售提效成果逐季体现，亮眼直营表现预示未来增长韧性,东吴证券,,,维持,2019-04-14T14:17:25,维持
增持,300193.SZ,0.48,佳士科技,17.4,一季报业绩持续高增长，符合预期,国盛证券,,,维持,2019-04-14T14:34:50,维持
买入,601668.SH,1.04,中国建筑,6.1,基建业绩提速，订单回暖业绩释放动力足,国信证券,,,维持,2019-04-14T14:37:58,维持
增持,601238.SH,1.15,广汽集团,11.77,自主销量下滑，日系合资延续强势,华泰证券,,,维持,2019-04-14T14:40:45,维持
买入,000672.SZ,2.18,上峰水泥,6.48,Q1业绩超预期，全年有望量价齐升,华泰证券,,,维持,2019-04-14T14:45:07,维持
增持,300755.SZ,1.22,华致酒行,30.66,国内领先精品酒水营销和服务商,华泰证券,0.99,37.76,首次,2019-04-14T14:50:09,首次
